iter	Passed	Remaining
316	1302	2805
317	1303	2796
318	1307	2790
319	1309	2783
320	1311	2774
321	1315	2770
322	1318	2764
323	1320	2755
324	1322	2746
325	1323	2736
326	1325	2728
327	1327	2719
328	1332	2716
329	1359	2759
330	1361	2751
331	1363	2742
332	1365	2734
333	1367	2726
334	1371	2722
335	1373	2714
336	1375	2706
337	1377	2697
338	1378	2688
339	1380	2679
340	1384	2675
341	1386	2667
342	1388	2658
343	1404	2677
344	1416	2689
345	1419	2682
346	1421	2674
347	1423	2666
348	1424	2657
349	1426	2649
350	1434	2652
351	1443	2657
352	1447	2653
353	1452	2649
354	1454	2641
355	1455	2633
356	1457	2625
357	1459	2616
358	1467	2619
359	1469	2613
360	1471	2604
361	1473	2596
362	1474	2587
363	1476	2579
364	1480	2576
365	1489	2580
366	1491	2572
367	1497	2572
368	1499	2563
369	1501	2557
370	1503	2549
371	1505	2540
372	1506	2532
373	1512	2531
374	1514	2523
375	1515	2515
376	1517	2507
377	1518	2499
378	1520	2491
379	1521	2483
380	1527	2482
381	1529	2474
382	1543	2486
383	1545	2479
384	1547	2471
385	1549	2464
386	1551	2457
387	1554	2451
388	1559	2449
389	1561	2442
390	1563	2434
391	1565	2428
392	1567	2421
393	1569	2414
394	1574	2411
395	1576	2404
396	1578	2397
397	1580	2390
398	1582	2383
399	1583	2375
400	1585	2368
401	1587	2361
402	1589	2353
403	1595	2353
404	1598	2349
405	1614	2361
406	1616	2355
407	1617	2347
408	1619	2340
409	1620	2332
410	1622	2325
411	1624	2317
412	1625	2310
413	1629	2306
414	1631	2299
415	1632	2291
416	1634	2284
417	1636	2278
418	1637	2270
419	1639	2263
420	1646	2263
421	1647	2256
422	1649	2249
423	1654	2247
424	1655	2240
425	1664	2242
426	1665	2235
427	1669	2231
428	1671	2224
429	1672	2217
430	1674	2210
431	1677	2205
432	1679	2199
433	1680	2192
434	1685	2188
435	1687	2182
436	1695	2184
437	1719	2206
438	1720	2199
439	1722	2191
440	1723	2184
441	1725	2177
442	1726	2170
443	1727	2163
444	1729	2156
445	1732	2152
446	1735	2146
447	1736	2140
448	1738	2133
449	1739	2126
450	1741	2119
451	1742	2112
452	1744	2106
453	1745	2099
454	1750	2096
455	1751	2089
456	1790	2127
457	1793	2122
458	1796	2117
459	1798	2111
460	1800	2104
461	1801	2097
462	1803	2091
463	1804	2084
464	1805	2077
465	1807	2071
466	1809	2065
467	1812	2060
468	1814	2054
469	1816	2048
470	1818	2041
471	1821	2037
472	1838	2047
473	1861	2065
474	1862	2058
475	1863	2051
476	1865	2045
477	1866	2038
478	1868	2032
479	1869	2025
480	1871	2019
481	1872	2012
482	1876	2009
483	1878	2002
484	1880	1996
485	1881	1990
486	1883	1984
487	1885	1977
488	1886	1971
489	1888	1965
490	1891	1960
491	1925	1988
492	1928	1983
493	1930	1976
494	1933	1972
495	1934	1965
496	1936	1959
497	1941	1957
498	1943	1951
499	1944	1944
500	1946	1939
501	1948	1932
502	1949	1926
503	1951	1920
504	1955	1916
505	1956	1910
506	1975	1920
507	1993	1930
508	1995	1924
509	1996	1918
510	1998	1912
511	1999	1906
512	2004	1902
513	2005	1896
514	2007	1890
515	2008	1884
516	2010	1878
517	2011	1872
518	2013	1865
519	2014	1859
520	2018	1855
521	2020	1850
522	2022	1844
523	2024	1838
524	2025	1832
525	2027	1826
526	2067	1855
527	2092	1870
528	2097	1867
529	2099	1862
530	2101	1856
531	2103	1850
532	2105	1844
533	2132	1860
534	2133	1854
535	2135	1848
536	2137	1842
537	2139	1837
538	2141	1831
539	2146	1828
540	2149	1823
541	2151	1817
542	2152	1811
543	2186	1833
544	2189	1827
545	2190	1821
546	2206	1827
547	2207	1821
548	2213	1818
549	2215	1812
550	2217	1806
551	2218	1800
552	2220	1794
553	2221	1788
554	2223	1782
555	2228	1779
556	2230	1774
557	2232	1768
558	2234	1762
559	2235	1756
560	2238	1751
561	2252	1755
562	2259	1753
563	2261	1748
564	2262	1742
565	2264	1736
566	2265	1730
567	2267	1724
568	2269	1718
569	2273	1715
570	2275	1709
571	2277	1703
572	2278	1698
573	2280	1692
574	2282	1686
575	2283	1681
576	2285	1675
577	2287	1670
578	2290	1665
579	2292	1660
580	2293	1654
581	2295	1648
582	2296	1642
583	2297	1636
584	2298	1630
585	2302	1626
586	2303	1620
587	2304	1614
588	2306	1609
589	2307	1603
590	2308	1597
591	2309	1591
592	2310	1586
593	2312	1580
594	2316	1576
595	2317	1571
596	2319	1565
597	2320	1559
598	2321	1554
599	2322	1548
600	2323	1542
601	2325	1537
602	2326	1531
603	2327	1525
604	2332	1522
605	2334	1517
606	2335	1512
607	2337	1506
608	2338	1501
609	2340	1496
610	2341	1490
611	2342	1485
612	2346	1481
613	2348	1476
614	2349	1471
615	2351	1465
616	2352	1460
617	2353	1454
618	2355	1449
619	2356	1444
620	2358	1439
621	2362	1435
622	2363	1430
623	2364	1424
624	2365	1419
625	2367	1414
626	2368	1408
627	2369	1403
628	2371	1398
629	2373	1393
630	2376	1389
631	2377	1384
632	2379	1379
633	2380	1374
634	2381	1368
635	2382	1363
636	2383	1358
637	2385	1353
638	2386	1348
639	2387	1343
640	2388	1337
641	2393	1334
642	2394	1329
643	2396	1324
644	2397	1319
645	2398	1314
646	2399	1309
647	2401	1304
648	2402	1299
649	2403	1294
650	2408	1290
651	2409	1285
652	2410	1280
653	2411	1276
654	2413	1271
655	2414	1266
656	2415	1261
657	2417	1256
658	2418	1251
659	2422	1247
660	2423	1242
661	2424	1238
662	2426	1233
663	2427	1228
664	2428	1223
665	2430	1218
666	2431	1213
667	2432	1208
668	2433	1204
669	2437	1200
670	2439	1196
671	2441	1191
672	2443	1187
673	2445	1182
674	2446	1177
675	2447	1173
676	2448	1168
677	2452	1164
678	2454	1160
679	2455	1155
680	2456	1150
681	2458	1146
682	2459	1141
683	2460	1136
684	2461	1132
685	2463	1127
686	2464	1122
687	2469	1119
688	2470	1114
689	2471	1110
690	2473	1106
691	2474	1101
692	2475	1096
693	2477	1092
694	2478	1087
695	2479	1083
696	2484	1079
697	2485	1075
698	2486	1070
699	2488	1066
700	2489	1061
701	2490	1057
702	2491	1052
703	2492	1048
704	2493	1043
705	2495	1039
706	2496	1034
707	2498	1030
708	2499	1025
709	2500	1021
710	2502	1016
711	2503	1012
712	2504	1008
713	2505	1003
714	2506	999
715	2509	995
716	2511	991
717	2513	987
718	2514	982
719	2515	978
720	2517	974
721	2518	969
722	2519	965
723	2520	960
724	2522	956
725	2526	953
726	2528	949
727	2530	945
728	2531	941
729	2533	936
730	2535	932
731	2536	928
732	2537	924
733	2541	921
734	2543	917
735	2545	912
736	2546	908
737	2547	904
738	2548	900
739	2550	895
740	2551	891
741	2552	887
742	2557	884
743	2558	880
744	2559	876
745	2561	872
746	2562	867
747	2563	863
748	2564	859
749	2565	855
750	2567	851
751	2571	848
752	2574	844
753	2575	840
754	2577	836
755	2578	832
756	2580	828
757	2581	824
758	2583	820
759	2586	816
760	2588	812
761	2589	808
762	2591	805
763	2594	801
764	2599	798
765	2601	794
766	2604	791
767	2606	787
768	2608	783
769	2610	779
770	2619	777
771	2620	774
772	2622	770
773	2624	766
774	2626	762
775	2632	759
776	2634	756
777	2636	752
778	2638	748
779	2640	744
780	2642	741
781	2651	739
782	2654	735
783	2656	731
784	2658	728
785	2660	724
786	2662	720
787	2663	716
788	2667	713
789	2670	709
790	2673	706
791	2676	702
792	2678	699
793	2688	697
794	2690	693
795	2691	689
796	2692	685
797	2694	681
798	2695	678
799	2700	675
800	2702	671
801	2704	667
802	2706	663
803	2707	660
804	2709	656
805	2715	653
806	2717	649
807	2719	646
808	2720	642
809	2722	638
810	2723	634
811	2724	630
812	2727	627
813	2729	623
814	2731	619
815	2732	616
816	2733	612
817	2751	612
818	2771	612
819	2772	608
820	2779	605
821	2781	602
822	2782	598
823	2784	594
824	2786	591
825	2787	587
826	2793	584
827	2795	580
828	2797	576
829	2799	573
830	2800	569
831	2802	565
832	2803	562
833	2804	558
834	2806	554
835	2808	550
836	2809	547
837	2811	543
838	2812	539
839	2814	536
840	2819	533
841	2821	529
842	2822	525
843	2824	522
844	2825	518
845	2827	514
846	2828	511
847	2830	507
848	2835	504
849	2837	500
850	2839	497
851	2853	495
852	2854	491
853	2856	488
854	2857	484
855	2859	481
856	2861	477
857	2866	474
858	2868	470
859	2870	467
860	2871	463
861	2872	459
862	2874	456
863	2876	452
864	2880	449
865	2882	445
866	2883	442
867	2885	438
868	2899	437
869	2919	436
870	2920	432
871	2922	428
872	2923	425
873	2925	421
874	2953	421
875	2954	418
876	2959	415
877	2961	411
878	2963	407
879	2965	404
880	2967	400
881	2968	397
882	2970	393
883	2973	390
884	2976	386
885	2977	383
886	2979	379
887	2980	375
888	2982	372
889	2984	368
890	2985	365
891	3010	364
892	3013	361
893	3015	357
894	3016	353
895	3018	350
896	3021	346
897	3023	343
898	3024	339
899	3026	336
900	3029	332
901	3031	329
902	3042	326
903	3044	323
904	3045	319
905	3047	316
906	3049	312
907	3052	309
908	3054	305
909	3064	303
910	3066	299
911	3069	296
912	3071	292
913	3073	289
914	3074	285
915	3076	282
916	3077	278
917	3079	275
918	3080	271
919	3083	268
920	3085	264
921	3086	261
922	3088	257
923	3089	254
924	3091	250
925	3092	247
926	3094	243
927	3103	240
928	3105	237
929	3107	233
930	3109	230
931	3110	226
932	3111	223
933	3113	220
934	3116	216
935	3118	213
936	3120	209
937	3121	206
938	3123	202
939	3124	199
940	3125	195
941	3127	192
942	3131	189
943	3132	185
944	3134	182
945	3136	179
946	3137	175
947	3138	172
948	3139	168
949	3141	165
950	3142	161
951	3146	158
952	3147	155
953	3149	151
954	3150	148
955	3151	145
956	3152	141
957	3154	138
958	3155	134
959	3156	131
960	3157	128
961	3161	124
962	3163	121
963	3164	118
964	3166	114
965	3167	111
966	3168	108
967	3169	104
968	3171	101
969	3172	98
970	3175	94
971	3177	91
972	3179	88
973	3180	84
974	3182	81
975	3183	78
976	3185	74
977	3186	71
978	3187	68
979	3190	65
980	3192	61
981	3194	58
982	3196	55
983	3197	51
984	3199	48
985	3200	45
986	3202	42
987	3203	38
988	3207	35
989	3209	32
990	3210	29
991	3211	25
992	3213	22
993	3214	19
994	3215	16
995	3217	12
996	3218	9
997	3222	6
998	3223	3
999	3224	0
